COD,COD_CLASSE,FRASES,TP_ACOES
1,1,"Você ousa me desafiar, verme covarde? Venha então, e eu mostrarei a você o que é ser um verdadeiro guerreiro!",Ruim
2,1,Correr? Eu não sou um covarde! Prepare-se para enfrentar minha fúria implacável!,Ruim
3,1,Precisa de equipamento? Minhas armas são forjadas no calor da batalha!,Neutra
4,1,"Você tem algo para vender? Talvez eu me interesse, se o preço for justo.",Neutra
5,1,O caminho que escolherei é o da coragem e da honra. Lutarei até o fim!,Neutra
6,2,"Claro que ajudaria, afinal, meus conhecimentos podem iluminar o caminho.",Boa
7,2,Atacar-me? Tolo! Minhas magias são tão poderosas quanto imprevisíveis.,Ruim
8,2,Correr não é uma opção quando se enfrenta a magia. Meus feitiços irão te encontrar.,Ruim
9,2,"Se precisa de itens mágicos, estou disposto a negociar. Eles podem mudar seu destino.",Neutra
10,2,Você tem artefatos mágicos para vender? Sou sempre receptivo a novos objetos encantados.,Neutra
11,3,Você necessita de proteção? Minha armadura e escudo estão à sua disposição.,Boa
12,3,Atacar-me seria um erro que custaria caro. Sinta o peso de minha espada!,Ruim
13,3,Fugir? Essa não é uma escolha sábia quando se enfrenta um cavaleiro!,Ruim
14,3,"Precisa de algo? Eu também tenho alguns itens para vender, se for do seu interesse.",Neutra
15,3,Tem algo para vender? Estou disposto a ouvir sua oferta.,Neutra
16,4,Quem ousa me atacar? Meu machado esmagará todos os que cruzarem meu caminho!,Ruim
17,4,"Fugir? Hahaha, acha mesmo que escapará da fúria do meu machado?!",Ruim
18,4,Quer comprar algo? Minhas pilhagens têm as melhores ofertas.,Neutra
19,4,"Tem algo para vender? Se for valioso, talvez eu o compre.",Neutra
20,4,"Que caminho seguir? O caminho do bárbaro, cheio de desafios e conquistas!",Neutra
21,5,Aceitaria me ajudar? Minhas flechas nunca erram seu alvo.,Boa
22,5,Atacar-me à distância? Acho que subestima minha habilidade com o arco.,Ruim
23,5,"Fugir? Não adianta correr, minhas flechas sempre alcançam.",Ruim
24,5,Quer comprar algo? Minhas flechas mágicas podem ser úteis para você.,Neutra
25,5,"Quer vender algo? Se tiver algo de interesse para um arqueiro, podemos negociar.",Neutra
